retenu,eur_per_m2,name,city,postcode,zone_abc,developer,source,lot_price,lot_area,lot_floor,lot_exposure,lot_available,lot_count_t4,price_t4_min,price_t4_max,price_program_min,price_program_max,price_t4_or_program,area_t4_min,area_t4_max,area_program_min,area_program_max,typologies,delivery,fiscal,kitchen_hint,plan_url,station_name,station_line,walk_m,walk_min,address,lat,lon,geocode_precision,fails,unknown,notes,url,insee,dept,delivery_year,delivery_quarter,ok_t4,ok_zone,ok_surface,ok_prix,ok_eur_m2,ok_rer,ok_livraison,ok_ptz
oui,3784,Gagny au pied du RER E,Gagny,93220,A,MEDICIS_PATRIMOINE,explorimmoneuf,303000,80.08,4,,oui,2,303000,314000,202450,314000,303000,80.08,80.47,46.47,80.47,2/3/4,T3 2028,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel,,,Le Chénay-Gagny,E,80.0,1.0,50 rue du chemin de Fer,48.876755,2.5524583,source,,,,https://www.explorimmoneuf.com/programme/detail-107677871,93032,93,2028,3,oui,oui,oui,oui,oui,oui,oui,oui
oui,3789,Drancy à 4 minutes du RER B direction Paris,Drancy,93700,A,MEDICIS_PATRIMOINE,explorimmoneuf,348000,91.85,4,,oui,2,348000,349000,214000,349000,348000,81.8,91.85,44.85,91.85,2/3/4,T1 2028,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel,,,Drancy,B,411.0,4.8,247 rue Anatole France,48.935818,2.4569962,source,,,,https://www.explorimmoneuf.com/programme/detail-81309194,93029,93,2028,1,oui,oui,oui,oui,oui,oui,oui,oui
oui,3836,Les Marquises,Goussainville,95190,A,LES NOUVEAUX CONSTRUCTEURS SA,explorimmoneuf,322300,84.02,4,,oui,1,322300,322300,177300,322300,322300,84.02,84.02,37.5,84.02,2/3/4,T3 2028,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel/TVA réduite,,,Les Noues,D,335.0,3.8,15 rue des pinsons,49.032997,2.4747968,source,,,,https://www.explorimmoneuf.com/programme/detail-79621636,95280,95,2028,3,oui,oui,oui,oui,oui,oui,oui,oui
oui,3836,Arnouville à 300 mètres de la gare,Arnouville-les-gonesse,95400,A,MEDICIS_PATRIMOINE,explorimmoneuf,316520,82.51,2,Sud,oui,10,293868,338148,193622,514140,316520,73.59,82.51,39.61,125.14,2/3/4/5,T2 2028,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel,,,Villiers-le-Bel-Gonesse-Arnouville,D,368.0,4.3,9-11 rue Bonnet,48.99631,2.4161491,source,,,,https://www.explorimmoneuf.com/programme/detail-98488037,95019,95,2028,2,oui,oui,oui,oui,oui,oui,oui,oui
oui,4205,CADENCE,Montigny-les-cormeilles,95370,A,ICADE,explorimmoneuf,351000,83.48,2,,oui,9,350500,389000,235200,389000,351000,75.52,83.48,34.47,83.48,2/3/4,T1 2028,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel,,,Montigny-Beauchamp,C,242.0,2.9,Lot 1B - ZAC de la Gare - 132 bis avenue de la Libération,49.006176,2.195063,source,,,,https://www.explorimmoneuf.com/programme/detail-86856877,95424,95,2028,1,oui,oui,oui,oui,oui,oui,oui,oui
oui,4617,Clos Des Bleuets,Beauchamp,95250,A,EIFFAGE IMMOBILIER,explorimmoneuf,377000,81.66,,,oui,7,359000,409000,234000,409000,377000,69.71,81.75,37.76,81.75,2/3/4,T1 2029,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel,,,Montigny-Beauchamp,C,194.0,2.4,Avenue Georges Clémenceau,49.008648,2.1975112,source,,,,https://www.explorimmoneuf.com/programme/detail-99996463,95051,95,2029,1,oui,oui,oui,oui,oui,oui,oui,oui
oui,4719,5 OISE,Cergy,95000,A,Imax LEVALLOIS,explorimmoneuf,420000,89,,,oui,1,420000,420000,190000,430000,420000,89,89,39,89,1/2/3/4,T1 2029,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel,,,Cergy-Préfecture,A,419.0,5.3,,49.034004,2.0827086,source,,,,https://www.explorimmoneuf.com/programme/detail-103868637,95127,95,2029,1,oui,oui,oui,oui,oui,oui,oui,oui
oui,5189,Les Jardins Michalon,Antony,92160,Abis,LES NOUVEAUX CONSTRUCTEURS SA,explorimmoneuf,420300,81,3,,oui,1,420300,420300,270200,420300,420300,81,81,42.3,81,2/3/4,T1 2028,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel,,,Antony,B,426.0,5.3,4-18 avenue du Président JF Kennedy,48.75342,2.3050432,source,,,,https://www.explorimmoneuf.com/programme/detail-76448628,92002,92,2028,1,oui,oui,oui,oui,oui,oui,oui,oui
